label,labelshort,venue proximity,other,regular visitor,free admission,personal recommendation,persuasion by friends,interest in the topic,total
Ars Independent Fest.,Ars Independ.,5,17,102,11,37,91,143,406
Regiofun Film Festival,Regiofun Fest.,5,4,20,5,12,19,36,101
Intel Extreme Masters,Intel EM,13,31,106,23,26,104,200,503
Interpretacje Festival,Interpretacje,1,5,25,7,6,18,33,95
JazzArt Festival,JazzArt,2,6,14,3,15,21,55,116
Studio Cinemas,Studio Cinemas,12,13,33,1,18,51,41,169
Summer Theatre,Summer Theatre,3,1,52,0,11,29,15,111
Silesian Museum,Silesian Museum,23,18,33,40,48,130,90,382
NOSPR Orchestra,NOSPR,6,19,59,3,16,49,49,201
OFF Festival,OFF Festival,3,17,130,12,39,56,89,346
Silesia Bazaar,SilesiaBazaar,2,1,9,1,6,24,32,75
Silesian Jazz Festival,Silesian Jazz,1,8,9,8,13,25,50,114
Wilson Shaft Gallery,Wilson Gallery,2,7,29,1,10,17,29,95
Tauron Nowa Muzyka,Tauron Fest.,19,49,112,30,36,76,142,464
Silesian Theatre,Silesian Theatre,4,6,41,10,26,130,78,295
Exhibitions,Exhibitions,3,4,7,5,5,12,32,68