label,labelshort,below 10k,10–50k,50–100k,100–200k,above 200k,total
Ars Independent Fest.,Ars Independ.,9,32,46,51,147,285
Other events,Other,1,4,5,8,41,59
Intel Extreme Masters,Intel EM,30,133,59,109,109,440
Interpretacje Festival,Interpretacje,NA,3,7,12,34,56
JazzArt Festival,JazzArt,3,10,13,16,52,94
Summer Theatre,Summer Theatre,3,7,17,26,37,90
Silesian Museum,Silesian Museum,20,38,40,77,143,318
NOSPR Orchestra,NOSPR,18,24,23,45,74,184
OFF Festival,OFF Festival,9,41,15,13,177,255
Regiofun Film Festival,Regiofun Fest.,1,6,10,18,53,88
Silesia Bazaar,SilesiaBazaar,1,8,6,18,20,53
Studio Cinemas,Studio Cinemas,3,11,17,37,78,146
Silesian Jazz Festival,Silesian Jazz,1,8,18,19,45,91
Wilson Shaft Gallery,Wilson Gallery,2,8,8,19,40,77
Tauron Nowa Muzyka,Tauron Fest.,18,38,42,62,237,397
Silesian Theatre,Silesian Theatre,7,22,55,47,100,231
Exhibitions,Exhibitions,1,1,5,13,31,51