label,labelshort,social media,other source,total
Ars Independent Fest.,Ars Independ.,43.16,49.47,100
Other events,Other,45.57,31.65,100
Intel Extreme Masters,Intel EM,51.99,40.04,100
Interpretacje Festival,Interpretacje,26.44,56.32,100
JazzArt Festival,JazzArt,23.01,49.56,100
Summer Theatre,Summer Theatre,15.38,54.81,100
Silesian Museum,Silesian Museum,20,58.08,100
NOSPR Orchestra,NOSPR,7.37,48.42,100
OFF Festival,OFF Festival,17.99,71.09,100
Regiofun Film Festival,Regiofun Fest.,26.09,45.65,100
Silesia Bazaar,SilesiaBazaar,50.68,28.77,100
Studio Cinemas,Studio Cinemas,16.25,63.75,100
Silesian Jazz Festival,Silesian Jazz,33.33,45.71,100
Wilson Shaft Gallery,Wilson Gallery,19.78,40.66,100
Tauron Nowa Muzyka,Tauron Fest.,31.92,58.22,100
Silesian Theatre,Silesian Theatre,15.02,49.36,100
Exhibitions,Exhibitions,46.03,39.68,100