label,labelshort,heavy user,selector,aficionado,fan,dinner&show,occasional,casual,total
Ars Independent Fest.,Ars Independ.,12,44,6,7,5,24,3,101
Other events,Other,8,37,4,6,4,16,4,79
Intel Extreme Masters,Intel EM,30,65,34,212,50,77,35,503
Interpretacje Festival,Interpretacje,28,33,8,1,7,14,2,93
JazzArt Festival,JazzArt,14,47,10,10,14,18,3,116
Summer Theatre,Summer Theatre,13,38,17,4,10,26,3,111
Silesian Museum,Silesian Museum,41,105,21,22,62,111,20,382
NOSPR Orchestra,NOSPR,25,73,36,5,25,25,7,196
OFF Festival,OFF Festival,59,159,22,35,19,44,8,346
Regiofun Film Festival,Regiofun Fest.,17,31,18,5,9,17,1,98
Silesia Bazaar,SilesiaBazaar,7,19,4,9,13,21,2,75
Studio Cinemas,Studio Cinemas,17,61,21,1,14,38,2,154
Silesian Jazz Festival,Silesian Jazz,11,51,17,1,10,19,5,114
Wilson Shaft Gallery,Wilson Gallery,12,35,10,7,10,18,3,95
Tauron Nowa Muzyka,Tauron Fest.,94,193,44,40,36,46,11,464
Silesian Theatre,Silesian Theatre,16,51,37,6,70,90,16,286
Exhibitions,Exhibitions,13,27,8,4,3,10,3,68